ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
322,Carbonic anhydrase 2,CA2,179780,M77181,P00918,CAH2_HUMAN,12CA; 1A42; 1AM6; 1AVN; 1BCD; 1BIC; 1BN1; 1BN3; 1BN4; 1BNM; 1BNN; 1BNQ; 1BNT; 1BNU; 1BNV; 1BNW; 1BV3; 1CA2; 1CA3; 1CAH; 1CAI; 1CAJ; 1CAK; 1CAL; 1CAM; 1CAN; 1CAO; 1CAY; 1CAZ; 1CCS; 1CCT; 1CCU; 1CIL; 1CIM; 1CIN; 1CNB; 1CNC; 1CNG; 1CNH; 1CNI; 1CNJ; 1CNK; 1CNW; 1CNX; 1CNY; 1CRA; 1CVA; 1CVB; 1CVC; 1CVD; 1CVE; 1CVF; 1CVH; 1DCA; 1DCB; 1EOU; 1F2W; 1FQL; 1FQM; 1FQN; 1FQR; 1FR4; 1FR7; 1FSN; 1FSQ; 1FSR; 1G0E; 1G0F; 1G1D; 1G3Z; 1G45; 1G46; 1G48; 1G4J; 1G4O; 1G52; 1G53; 1G54; 1H4N; 1H9N; 1H9Q; 1HCA; 1HEA; 1HEB; 1HEC; 1HED; 1HVA; 1I8Z; 1I90; 1I91; 1I9L; 1I9M; 1I9N; 1I9O; 1I9P; 1I9Q; 1IF4; 1IF5; 1IF6; 1IF7; 1IF8; 1IF9; 1KWQ; 1KWR; 1LG5; 1LG6; 1LGD; 1LUG; 1LZV; 1MOO; 1MUA; 1OKL; 1OKM; 1OKN; 1OQ5; 1RAY; 1RAZ; 1RZA; 1RZB; 1RZC; 1RZD; 1RZE; 1T9N; 1TB0; 1TBT; 1TE3; 1TEQ; 1TEU; 1TG3; 1TG9; 1TH9; 1THK; 1TTM; 1UGA; 1UGB; 1UGC; 1UGD; 1UGE; 1UGF; 1UGG; 1XEG; 1XEV; 1XPZ; 1XQ0; 1YDA; 1YDB; 1YDC; 1YDD; 1YO0; 1YO1; 1YO2; 1Z9Y; 1ZE8; 1ZFK; 1ZFQ; 1ZGE; 1ZGF; 1ZH9; 1ZSA; 1ZSB; 1ZSC; 2ABE; 2AW1; 2AX2; 2CA2; 2CBA; 2CBB; 2CBC; 2CBD; 2CBE; 2EU2; 2EU3; 2EZ7; 2F14; 2FMG; 2FMZ; 2FNK; 2FNM; 2FNN; 2FOQ; 2FOS; 2FOU; 2FOV; 2GD8; 2GEH; 2H15; 2H4N; 2HD6; 2HKK; 2HL4; 2HNC; 2HOC; 2ILI; 2NNG; 2NNO; 2NNS; 2NNV; 2NWO; 2NWP; 2NWY; 2NWZ; 2NXR; 2NXS; 2NXT; 2O4Z; 2OSF; 2OSM; 2POU; 2POV; 2POW; 2Q1B; 2Q1Q; 2Q38; 2QO8; 2QOA; 2QP6; 2VVA; 2VVB; 2WD2; 2WD3; 2WEG; 2WEH; 2WEJ; 2WEO; 2X7S; 2X7T; 2X7U; 3B4F; 3BET; 3BL0; 3BL1; 3C7P; 3CA2; 3CAJ; 3CYU; 3D8W; 3D92; 3D93; 3D9Z; 3DAZ; 3DBU; 3DC3; 3DC9; 3DCC; 3DCS; 3DCW; 3DD0; 3DD8; 3DV7; 3DVB; 3DVC; 3DVD; 3EFI; 3EFT; 3F4X; 3F8E; 3FFP; 3GZ0; 3HFP; 3HKN; 3HKQ; 3HKT; 3HKU; 3HLJ; 3HS4; 3IBI; 3IBL; 3IBN; 3IBU; 3IEO; 3IGP; 3K2F; 3K34; 3K7K; 3KIG; 3KKX; 3KNE; 3KOI; 3KOK; 3KON; 3KS3; 3KWA; 3L14; 3M04; 3M14; 3M1J; 3M1K; 3M1Q; 3M1W; 3M2N; 3M2X; 3M2Y; 3M2Z; 3M3X; 3M40; 3M5E; 3M5S; 3M5T; 3M67; 3M96; 3M98; 3MHC; 3MHI; 3MHL; 3MHM; 3MHO; 3ML2; 3MMF; 3MNA; 3MNH; 3MNI; 3MNJ; 3MNK; 3MNU; 3MWO; 3MYQ; 3MZC; 3N0N; 3N2P; 3N3J; 3N4B; 3NB5; 3NI5; 3NJ9; 3OIK; 3OIL; 3OIM; 3OKU; 3OKV; 3OY0; 3OYQ; 3OYS; 3P3H; 3P3J; 3P44; 3P4V; 3P55; 3P58; 3P5A; 3P5L; 3PJJ; 3PO6; 3PYK; 3QYK; 3R16; 3R17; 3RG3; 3RG4; 3RGE; 3RJ7; 3RLD; 3RYJ; 3RYV; 3RYX; 3RYY; 3RYZ; 3RZ0; 3RZ1; 3RZ5; 3RZ7; 3RZ8; 3S71; 3S72; 3S73; 3S74; 3S75; 3S76; 3S77; 3S78; 3S8X; 3S9T; 3SAP; 3SAX; 3SBH; 3SBI; 3T5U; 3T5Z; 3T82; 3T83; 3T84; 3T85; 3TMJ; 3TVN; 3TVO; 3U3A; 3U45; 3U47; 3U7C; 3V2J; 3V2M; 3V3F; 3V3G; 3V3H; 3V3I; 3V3J; 3V5G; 3V7X; 3VBD; 3ZP9; 4BCW; 4BF1; 4BF6; 4CA2; 4CAC; 4CQ0; 4DZ7; 4DZ9; 4E3D; 4E3F; 4E3G; 4E3H; 4E49; 4E4A; 4E5Q; 4FIK; 4FL7; 4FPT; 4FRC; 4FU5; 4FVN; 4FVO; 4G0C; 4GL1; 4HBA; 4HEW; 4HEY; 4HEZ; 4HF3; 4HT0; 4IDR; 4ILX; 4ITO; 4ITP; 4IWZ; 4JS6; 4JSA; 4JSS; 4JSW; 4JSZ; 4K0S; 4K0T; 4K0Z; 4K13; 4K1Q; 4KAP; 4KNI; 4KNJ; 4KUV; 4KUW; 4KUY; 4KV0; 4L5U; 4L5V; 4L5W; 4LHI; 4LP6; 4M2R; 4M2U; 4M2V; 4M2W; 4MDG; 4MDL; 4MDM; 4MLT; 4MLX; 4MO8; 4MTY; 4N0X; 4N16; 4PQ7; 4PXX; 4PYX; 4PYY; 4PZH; 4Q06; 4Q07; 4Q08; 4Q09; 4Q49; 4Q6D; 4Q6E; 4Q78; 4Q7P; 4Q7S; 4Q7V; 4Q7W; 4Q81; 4Q83; 4Q87; 4Q8X; 4Q8Y; 4Q8Z; 4Q90; 4Q99; 4Q9Y; 4QEF; 4QIY; 4QJM; 4QK1; 4QK2; 4QK3; 4QSA; 4QSB; 4QSI; 4QTL; 4QY3; 4R59; 4R5A; 4R5B; 4RFC; 4RFD; 4RH2; 4RIU; 4RIV; 4RN4; 4RUX; 4RUY; 4RUZ; 4WL4; 4WW6; 4XE1; 4Y0J; 4YGJ; 4YGK; 4YGL; 4YGN; 4YWP; 4Z0Q; 4Z1E; 4Z1J; 4Z1K; 4Z1N; 4ZAO; 4ZWI; 4ZWX; 4ZWY; 4ZWZ; 4ZX0; 4ZX1; 5AMD; 5AMG; 5AML; 5BNL; 5BRU; 5BRV; 5BRW; 5BYI; 5CA2; 5CAC; 5CLU; 5E2R; 6CA2; 7CA2; 8CA2; 9CA2,,CA2,HGNC:1373,Humans,DB14533; DB14548
324,Thymidylate synthase,TYMS,37479,X02308,P04818,TYSY_HUMAN,1HVY; 1HW3; 1HW4; 1HZW; 1I00; 1JU6; 1JUJ; 1YPV; 2ONB; 2RD8; 2RDA; 3EAW; 3EBU; 3ED7; 3EDW; 3EF9; 3EGY; 3EHI; 3EJL; 3GG5; 3GH0; 3GH2; 3H9K; 3HB8; 3N5E; 3N5G; 3OB7; 4E28; 4FGT; 4G2O; 4G6W; 4GD7; 4GYH; 4H1I; 4JEF; 4KPW; 4O1U; 4O1X; 4UP1,,TYMS,HGNC:12441,Humans,DB00544; DB00563
329,Corticosteroid 11-beta-dehydrogenase isozyme 1,HSD11B1,179475,M76665,P28845,DHI1_HUMAN,1XU7; 1XU9; 2BEL; 2ILT; 2IRW; 2RBE; 3BYZ; 3BZU; 3CH6; 3CZR; 3D3E; 3D4N; 3D5Q; 3EY4; 3FCO; 3FRJ; 3H6K; 3HFG; 3OQ1; 3PDJ; 3QQP; 3TFQ; 4BB5; 4BB6; 4C7J; 4C7K; 4HFR; 4HX5; 4IJU; 4IJV; 4IJW; 4K1L; 4P38,,HSD11B1,HGNC:5208,Humans,DB00461; DB00635; DB00687; DB00741; DB01234; DB04652; DB14631; DB14649; DB15093; DB16220
330,Dihydrofolate reductase,DHFR,182724,J00140,P00374,DYR_HUMAN,1BOZ; 1DHF; 1DLR; 1DLS; 1DRF; 1HFP; 1HFQ; 1HFR; 1KMS; 1KMV; 1MVS; 1MVT; 1OHJ; 1OHK; 1PD8; 1PD9; 1PDB; 1S3U; 1S3V; 1S3W; 1U71; 1U72; 1YHO; 2C2S; 2C2T; 2DHF; 2W3A; 2W3B; 2W3M; 3EIG; 3F8Y; 3F8Z; 3F91; 3FS6; 3GHC; 3GHV; 3GHW; 3GI2; 3GYF; 3L3R; 3N0H; 3NTZ; 3NU0; 3NXO; 3NXR; 3NXT; 3NXV; 3NXX; 3NXY; 3NZD; 3OAF; 3S3V; 3S7A; 4DDR; 4G95; 4KAK; 4KBN; 4KD7; 4KEB; 4KFJ; 4M6J; 4M6K; 4M6L; 4QHV; 4QJC,,DHFR,HGNC:2861,Humans,DB00158; DB00555; DB00563; DB08878
335,Cytochrome c oxidase subunit 1,MT-CO1,13006,V00662,P00395,COX1_HUMAN,"",,MT-CO1,HGNC:7419,Humans,DB06778; DB09130
344,"Steroid 17-alpha-hydroxylase/17,20 lyase",CYP17A1,181342,M14564,P05093,CP17A_HUMAN,2C17; 3RUK; 3SWZ; 4NKV; 4NKW; 4NKX; 4NKY; 4NKZ,,CYP17A1,HGNC:2593,Humans,DB00396; DB00882; DB01234; DB01424; DB01708; DB02901; DB04630; DB14649
350,"Acetyl-coenzyme A synthetase, cytoplasmic",ACSS2,8439651,AF263614,Q9NR19,ACSA_HUMAN,"",,ACSS2,HGNC:15814,Humans,DB09395
351,Amiloride-sensitive amine oxidase [copper-containing],AOC1,177960,M55602,P19801,AOC1_HUMAN,3HI7; 3HIG; 3HII; 3K5T; 3MPH,,ABP1,HGNC:80,Humans,DB00594; DB09130
352,AMP deaminase 1,AMPD1,10864686,M37931,P23109,AMPD1_HUMAN,"",,AMPD1,HGNC:468,Humans,DB00131
355,"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial",SUCLG2,133777003,BC007716,Q96I99,SUCB2_HUMAN,"",,SUCLG2,HGNC:11450,Humans,DB00139
360,Alcohol dehydrogenase 4,ADH4,178121,M15943,P08319,ADH4_HUMAN,3COS,,ADH4,HGNC:252,Humans,DB00157; DB00898
374,Amidophosphoribosyltransferase,PPAT,219459,D13757,Q06203,PUR1_HUMAN,"",,PPAT,HGNC:9238,Humans,DB00544
380,Vitamin K-dependent protein C,PROC,190334,M11228,P04070,PROC_HUMAN,1AUT; 1LQV; 1PCU; 2PCT; 3F6U; 3JTC; 4DT7,,PROC,HGNC:9451,Humans,DB00025; DB13192; DB13998; DB13999; DB14738
391,Alpha-N-acetylglucosaminidase,NAGLU,1171229,U43572,P54802,ANAG_HUMAN,"",,NAGLU,HGNC:7632,Humans,DB06773
394,Neutrophil elastase,ELANE,296665,Y00477,P08246,ELNE_HUMAN,1B0F; 1H1B; 1HNE; 1PPF; 1PPG; 2RG3; 2Z7F; 3Q76; 3Q77; 4NZL; 4WVP; 5A09; 5A0A; 5A0B; 5A0C; 5ABW,,ELA2,HGNC:3309,Humans,DB00019; DB00099
400,Alcohol dehydrogenase 1B,ADH1B,178098,M24317,P00325,ADH1B_HUMAN,1DEH; 1HDX; 1HDY; 1HDZ; 1HSZ; 1HTB; 1U3U; 1U3V; 3HUD,,ADH1B,HGNC:250,Humans,DB00157; DB00898
407,S-adenosylmethionine synthase isoform type-1,MAT1A,220066,D49357,Q00266,METK1_HUMAN,2OBV,,MAT1A,HGNC:6903,Humans,DB00134
421,Cytochrome P450 4A11,CYP4A11,181397,L04751,Q02928,CP4AB_HUMAN,"",,CYP4A11,HGNC:2642,Humans,DB00082; DB00515; DB00636; DB00738; DB00755; DB00898; DB01234; DB04977; DB11077; DB11156; DB13125; DB14004; DB14649
426,Acetylcholinesterase,ACHE,177975,M55040,P22303,ACES_HUMAN,1B41; 1F8U; 1PUV; 1PUW; 1VZJ; 2CLJ; 2X8B; 3LII; 4BDT; 4EY4; 4EY5; 4EY6; 4EY7; 4EY8; 4M0E; 4M0F; 4PQE,,ACHE,HGNC:108,Humans,DB00358; DB00411; DB00545; DB00863; DB00940; DB01364; DB03128
432,"Methionine-R-sulfoxide reductase B2, mitochondrial",MSRB2,4929731,AF151889,Q9Y3D2,MSRB2_HUMAN,"",,MSRB2,HGNC:17061,Humans,DB00134
438,Aldo-keto reductase family 1 member C4,AKR1C4,4261710,S68287,P17516,AK1C4_HUMAN,2FVL,,AKR1C4,HGNC:387,Humans,DB00461; DB00717; DB00776; DB06077
443,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial",CYP27B1,2612976,AF027152,O15528,CP27B_HUMAN,"",,CYP27B1,HGNC:2606,Humans,DB00146; DB00153; DB01285; DB11094
456,"Cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial",MMAB,26284726,AF550404,Q96EY8,MMAB_HUMAN,2IDX,,MMAB,HGNC:19331,Humans,DB00115
458,Thymidine kinase,TK,8100965,AF243477,Q9QNF7,KITH_HHV1,"",,,,HHV-1,DB00787
465,Alcohol dehydrogenase 1C,ADH1C,28404,X04299,P00326,ADH1G_HUMAN,1DDA; 1HT0; 1U3W,,ADH1C,HGNC:251,Humans,DB00898; DB14487; DB14533; DB14548
481,Aminoacylase-1,ACY1,178071,L07548,Q03154,ACY1_HUMAN,1Q7L,,ACY1,HGNC:177,Humans,DB06151
484,"ATP synthase subunit delta, mitochondrial",ATP5D,12586,X63422,P30049,ATPD_HUMAN,"",,ATP5D,HGNC:837,Humans,DB13749
503,NADH-ubiquinone oxidoreductase chain 1,MT-ND1,13004,V00662,P03886,NU1M_HUMAN,"",,MT-ND1,HGNC:7455,Humans,DB00753
507,Thyroid peroxidase,TPO,339867,J02969,P07202,PERT_HUMAN,"",,TPO,HGNC:12015,Humans,DB05382
510,Serotransferrin,TF,339453,M12530,P02787,TRFE_HUMAN,1A8E; 1A8F; 1B3E; 1BP5; 1BTJ; 1D3K; 1D4N; 1DTG; 1FQE; 1FQF; 1JQF; 1N7W; 1N7X; 1N84; 1OQG; 1OQH; 1RYO; 1SUV; 2HAU; 2HAV; 2O7U; 2O84; 3FGS; 3QYT; 3S9L; 3S9M; 3S9N; 3SKP; 3V83; 3V89; 3V8X; 3VE1; 4H0W; 4X1B; 4X1D,,TF,HGNC:11740,Humans,DB13257
511,Receptor tyrosine-protein kinase erbB-2,ERBB2,553282,M11767,P04626,ERBB2_HUMAN,1MFG; 1MFL; 1MW4; 1N8Z; 1OVC; 1QR1; 1S78; 2A91; 2JWA; 2KS1; 2L4K; 3BE1; 3H3B; 3MZW; 3N85; 3PP0; 3RCD; 3WLW; 3WSQ; 4GFU; 4HRL; 4HRM; 4HRN,,ERBB2,HGNC:3430,Humans,DB11652
514,Thymidine kinase,TK,330210,J02224,P06478,KITH_HHV1C,"",,,,,DB00577
517,"Branched-chain-amino-acid aminotransferase, cytosolic",BCAT1,1036780,U21551,P54687,BCAT1_HUMAN,2ABJ; 2COG; 2COI; 2COJ,,BCAT1,HGNC:976,Humans,DB00161; DB00996
519,Choline O-acetyltransferase,CHAT,301096,S56138,P28329,CLAT_HUMAN,2FY2; 2FY3; 2FY4; 2FY5,,CHAT,HGNC:1912,Humans,DB00122; DB14006
522,Alcohol dehydrogenase class 4 mu/sigma chain,ADH7,516618,L33179,P40394,ADH7_HUMAN,1AGN; 1D1S; 1D1T,,ADH7,HGNC:256,Humans,DB00157; DB00898
524,Vitamin D 25-hydroxylase,CYP2R1,33591222,AY323817,Q6VVX0,CP2R1_HUMAN,3C6G; 3CZH; 3DL9,,CYP2R1,HGNC:20580,Humans,DB00153; DB00169; DB11094
528,Aspartyl/asparaginyl beta-hydroxylase,ASPH,458032,U03109,Q12797,ASPH_HUMAN,5APA,,ASPH,HGNC:757,Humans,DB00139
539,3-oxo-5-alpha-steroid 4-dehydrogenase 1,SRD5A1,177767,M32313,P18405,S5A1_HUMAN,"",,SRD5A1,HGNC:11284,Humans,DB06412
543,"Methionine--tRNA ligase, cytoplasmic",MARS,1702932,X94754,P56192,SYMC_HUMAN,2DJV; 4BL7; 4BVX; 4BVY,,MARS,HGNC:6898,Humans,DB00134
544,"Propionyl-CoA carboxylase beta chain, mitochondrial",PCCB,312812,X73424,P05166,PCCB_HUMAN,"",,PCCB,HGNC:8654,Humans,DB00161
549,"Sterol 26-hydroxylase, mitochondrial",CYP27A1,181292,M62401,Q02318,CP27A_HUMAN,1MFX,,CYP27A1,HGNC:2605,Humans,DB00082; DB00153; DB00169; DB06410; DB06777
554,Retinal dehydrogenase 1,ALDH1A1,178372,M31994,P00352,AL1A1_HUMAN,4WB9; 4WJ9; 4WP7; 4WPN; 4X4L; 5AC2,,ALDH1A1,HGNC:402,Humans,DB09462
569,Cysteine dioxygenase type 1,CDO1,467561,Z31357,Q16878,CDO1_HUMAN,2IC1,,CDO1,HGNC:1795,Humans,DB04339
574,3-hydroxy-3-methylglutaryl-coenzyme A reductase,HMGCR,306865,M11058,P04035,HMDH_HUMAN,1DQ8; 1DQ9; 1DQA; 1HW8; 1HW9; 1HWI; 1HWJ; 1HWK; 1HWL; 2Q1L; 2Q6B; 2Q6C; 2R4F; 3BGL; 3CCT; 3CCW; 3CCZ; 3CD0; 3CD5; 3CD7; 3CDA; 3CDB,,HMGCR,HGNC:5006,Humans,DB09270
585,3-oxo-5-alpha-steroid 4-dehydrogenase 2,SRD5A2,338469,M74047,P31213,S5A2_HUMAN,"",,SRD5A2,HGNC:11285,Humans,DB00741
592,Aldo-keto reductase family 1 member C3,AKR1C3,4261711,S68288,P42330,AK1C3_HUMAN,1RY0; 1RY8; 1S1P; 1S1R; 1S2A; 1S2C; 1XF0; 1ZQ5; 2F38; 2FGB; 3R43; 3R58; 3R6I; 3R7M; 3R8G; 3R8H; 3R94; 3UFY; 3UG8; 3UGR; 3UWE; 4DBS; 4DBU; 4DBW; 4DZ5; 4FA3; 4FAL; 4FAM; 4H7C; 4HMN; 4WDT; 4WDU; 4WDW; 4WDX; 4WRH; 4XVD; 4XVE,,AKR1C3,HGNC:386,Humans,DB00776; DB00997; DB01039; DB01536; DB01561; DB02901
595,Flavin reductase (NADPH),BLVRB,1384068,D26308,P30043,BLVRB_HUMAN,1HDO; 1HE2; 1HE3; 1HE4; 1HE5,,BLVRB,HGNC:1063,Humans,DB09241
600,Fatty aldehyde dehydrogenase,ALDH3A2,1082036,L47162,P51648,AL3A2_HUMAN,4QGK,,ALDH3A2,HGNC:403,Humans,DB12612
615,Choline-phosphate cytidylyltransferase A,PCYT1A,575486,L28957,P49585,PCY1A_HUMAN,"",,PCYT1A,HGNC:8754,Humans,DB00709
618,"Glycine dehydrogenase (decarboxylating), mitochondrial",GLDC,190287,M63635,P23378,GCSP_HUMAN,"",,GLDC,HGNC:4313,Humans,DB00145
622,Aldo-keto reductase family 1 member C2,AKR1C2,531160,U05598,P52895,AK1C2_HUMAN,1IHI; 1J96; 1XJB; 2HDJ; 2IPJ; 4JQ1; 4JQ2; 4JQ3; 4JQ4; 4JQA; 4JTQ; 4JTR; 4L1W; 4L1X,,AKR1C2,HGNC:385,Humans,DB00461; DB00776; DB01039; DB12612
636,"Choline dehydrogenase, mitochondrial",CHDH,21759795,BC034502,Q8NE62,CHDH_HUMAN,"",,CHDH,HGNC:24288,Humans,DB00122; DB14006
637,UMP-CMP kinase,CMPK1,6578133,AF070416,P30085,KCY_HUMAN,1TEV,,CMPK,HGNC:18170,Humans,DB00441; DB00709; DB01262; DB08934
638,NADPH azoreductase,azr,10281002,AB032601,Q9FAW5,AZRB_BACOY,"",,,,Bacillus sp. (strain OY1-2),DB01014
648,"Glutathione reductase, mitochondrial",GSR,31825,X15722,P00390,GSHR_HUMAN,1ALG; 1BWC; 1DNC; 1GRA; 1GRB; 1GRE; 1GRF; 1GRG; 1GRH; 1GRT; 1GSN; 1K4Q; 1XAN; 2AAQ; 2GH5; 2GRT; 3DJG; 3DJJ; 3DK4; 3DK8; 3DK9; 3GRS; 3GRT; 3SQP; 4GR1; 4GRT; 5GRT,,GSR,HGNC:4623,Humans,DB11135; DB11590
657,Cytosolic phospholipase A2,PLA2G4A,190007,M72393,P47712,PA24A_HUMAN,1BCI; 1CJY; 1RLW,,PLA2G4A,HGNC:9035,Humans,DB00041; DB00086; DB00411; DB00445; DB00578; DB01083; DB04786; DB04827; DB05029
683,Pancreatic triacylglycerol lipase,PNLIP,339597,J05125,P16233,LIPP_HUMAN,1LPA; 1LPB; 1N8S,,PNLIP,HGNC:9155,Humans,DB08909
693,"Indoleamine 2,3-dioxygenase 1",IDO1,306956,M34455,P14902,I23O1_HUMAN,2D0T; 2D0U; 4PK5; 4PK6; 4U72; 4U74,,INDO,HGNC:6059,Humans,DB00150; DB01065
700,"Folylpolyglutamate synthase, mitochondrial",FPGS,292029,M98045,Q05932,FOLC_HUMAN,"",,FPGS,HGNC:3824,Humans,DB00563
713,Vitamin K epoxide reductase complex subunit 1,VKORC1,40217983,AY423044,Q9BQB6,VKOR1_HUMAN,"",,VKORC1,HGNC:23663,Humans,DB01022; DB09332
722,Inosine-5'-monophosphate dehydrogenase 2,IMPDH2,307066,J04208,P12268,IMDH2_HUMAN,1B3O; 1NF7; 1NFB,,IMPDH2,HGNC:6053,Humans,DB00993
729,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",NDUFS2,3540239,AF013160,O75306,NDUS2_HUMAN,"",,NDUFS2,HGNC:7708,Humans,DB00997
731,"Cytochrome P450 11B1, mitochondrial",CYP11B1,181333,M32879,P15538,C11B1_HUMAN,"",,CYP11B1,HGNC:2591,Humans,DB00252; DB00292; DB00421; DB00501; DB00741; DB01011; DB01026; DB01110; DB01234; DB01388; DB04630; DB14539; DB14540; DB14543; DB14544; DB14545; DB14649
732,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,219942,D00099,P05023,AT1A1_HUMAN,"",,ATP1A1,HGNC:799,Humans,DB13749
734,Methionine synthase,MTR,1923221,U71285,Q99707,METH_HUMAN,2O2K; 4CCZ,,MTR,HGNC:7468,Humans,DB11256
735,Heme oxygenase 1,HMOX1,35173,X06985,P09601,HMOX1_HUMAN,1N3U; 1N45; 1NI6; 1OYK; 1OYL; 1OZE; 1OZL; 1OZR; 1OZW; 1S13; 1S8C; 1T5P; 1TWN; 1TWR; 1XJZ; 1XK0; 1XK1; 1XK2; 1XK3; 3CZY; 3HOK; 3K4F; 3TGM; 4WD4,,HMOX1,HGNC:5013,Humans,DB00163; DB09221; DB14001; DB14002
737,"Dihydrolipoyl dehydrogenase, mitochondrial",DLD,307137,J03490,P09622,DLDH_HUMAN,1ZMC; 1ZMD; 1ZY8; 2F5Z; 3RNM,,DLD,HGNC:2898,Humans,DB00145
747,Aldose reductase,AKR1B1,178487,J04795,P15121,ALDR_HUMAN,1ABN; 1ADS; 1AZ1; 1AZ2; 1EF3; 1EL3; 1IEI; 1MAR; 1PWL; 1PWM; 1T40; 1T41; 1US0; 1X96; 1X97; 1X98; 1XGD; 1Z3N; 1Z89; 1Z8A; 2ACQ; 2ACR; 2ACS; 2ACU; 2AGT; 2DUX; 2DUZ; 2DV0; 2F2K; 2FZ8; 2FZ9; 2FZB; 2FZD; 2HV5; 2HVN; 2HVO; 2I16; 2I17; 2IKG; 2IKH; 2IKI; 2IKJ; 2INE; 2INZ; 2IPW; 2IQ0; 2IQD; 2IS7; 2ISF; 2J8T; 2NVC; 2NVD; 2PD5; 2PD9; 2PDB; 2PDC; 2PDF; 2PDG; 2PDH; 2PDI; 2PDJ; 2PDK; 2PDL; 2PDM; 2PDN; 2PDP; 2PDQ; 2PDU; 2PDW; 2PDX; 2PDY; 2PEV; 2PF8; 2PFH; 2PZN; 2QXW; 2R24; 3BCJ; 3DN5; 3G5E; 3GHR; 3GHS; 3GHT; 3GHU; 3LBO; 3LD5; 3LEN; 3LEP; 3LQG; 3LQL; 3LZ3; 3LZ5; 3M0I; 3M4H; 3M64; 3MB9; 3MC5; 3ONB; 3ONC; 3P2V; 3Q65; 3Q67; 3RX2; 3RX3; 3RX4; 3S3G; 3T42; 3U2C; 3V35; 3V36; 4GCA; 4GQ0; 4IGS; 4JIR; 4LAU; 4LAZ; 4LB3; 4LB4; 4LBR; 4LBS; 4NKC; 4PR4; 4PRR; 4PRT; 4PUU; 4PUW; 4Q7B; 4QBX; 4QR6; 4QX4; 4QXI; 4RPQ; 4XZH; 4XZI,,AKR1B1,HGNC:381,Humans,DB00694; DB01039; DB11859
753,Phenylalanine-4-hydroxylase,PAH,189937,K03020,P00439,PH4H_HUMAN,1DMW; 1J8T; 1J8U; 1KW0; 1LRM; 1MMK; 1MMT; 1PAH; 1TDW; 1TG2; 2PAH; 3PAH; 4ANP; 4PAH; 5PAH; 6PAH,,PAH,HGNC:8582,Humans,DB04339; DB06778
761,Inosine-5'-monophosphate dehydrogenase 1,IMPDH1,307067,J05272,P20839,IMDH1_HUMAN,1JCN,,IMPDH1,HGNC:6052,Humans,DB00993
767,Epidermal growth factor receptor,EGFR,757924,X00588,P00533,EGFR_HUMAN,1DNQ; 1DNR; 1IVO; 1M14; 1M17; 1MOX; 1NQL; 1XKK; 1YY9; 1Z9I; 2EB2; 2EB3; 2EXP; 2EXQ; 2GS2; 2GS6; 2GS7; 2ITN; 2ITO; 2ITP; 2ITQ; 2ITT; 2ITU; 2ITV; 2ITW; 2ITX; 2ITY; 2ITZ; 2J5E; 2J5F; 2J6M; 2JIT; 2JIU; 2JIV; 2KS1; 2M0B; 2M20; 2N5S; 2RF9; 2RFD; 2RFE; 2RGP; 3B2U; 3B2V; 3BEL; 3BUO; 3C09; 3G5V; 3G5Y; 3GOP; 3GT8; 3IKA; 3LZB; 3NJP; 3OB2; 3OP0; 3P0Y; 3PFV; 3POZ; 3QWQ; 3UG1; 3UG2; 3VJN; 3VJO; 3VRP; 3VRR; 3W2O; 3W2P; 3W2Q; 3W2R; 3W2S; 3W32; 3W33; 4G5J; 4G5P; 4HJO; 4I1Z; 4I20; 4I21; 4I22; 4I23; 4I24; 4JQ7; 4JQ8; 4JR3; 4JRV; 4KRL; 4KRM; 4KRO; 4KRP; 4LI5; 4LL0; 4LQM; 4LRM; 4R3P; 4R3R; 4R5S; 4RIW; 4RIX; 4RIY; 4RJ4; 4RJ5; 4RJ6; 4RJ7; 4RJ8; 4TKS; 4UV7; 4WKQ; 4WRG; 4ZAU; 4ZJV; 5C8K; 5C8M; 5C8N; 5CAL; 5CAN; 5CAO; 5CAP; 5CAQ; 5CAS; 5CAU; 5CAV; 5CNN; 5CNO; 5CZH; 5CZI,,EGFR,HGNC:3236,Humans,DB00530
784,Choline kinase alpha,CHKA,219541,D10704,P35790,CHKA_HUMAN,2CKO; 2CKP; 2CKQ; 2I7Q; 3F2R; 3G15; 3ZM9; 4BR3; 4CG8; 4CG9; 4CGA; 4DA5; 5AFV,,CHKA,HGNC:1937,Humans,DB00122; DB14006
807,Glutathione S-transferase Mu 1,GSTM1,31924,X08020,P09488,GSTM1_HUMAN,1GTU; 1XW6; 1XWK; 1YJ6; 2F3M,,GSTM1,HGNC:4632,Humans,DB00316; DB00515; DB00526; DB00958; DB00993; DB01008; DB01020; DB11672
810,Glutathione S-transferase Mu 3,GSTM3,306820,J05459,P21266,GSTM3_HUMAN,3GTU,,GSTM3,HGNC:4635,Humans,DB00163; DB14001; DB14002
